id,title,year,avg rating,no. of ratings,avg complexity,min players,max players,min play time,max play time,categories
161936,Pandemic Legacy: Season 1,2015,8.64489,12297,2.8075,2,4,60,60,Strategy Thematic
182028,Through the Ages: A New Story of Civilization,2015,8.84701,4527,4.2947,2,4,180,240,Strategy
12333,Twilight Struggle,2005,8.35899,24718,3.523,2,2,180,180,Strategy Wargames
120677,Terra Mystica,2012,8.29207,20533,3.9291,2,5,60,150,Strategy
102794,Caverna: The Cave Farmers,2013,8.2158,14358,3.7865,1,7,30,210,Strategy
187645,Star Wars: Rebellion,2016,8.58819,4791,3.4974,2,4,180,240,Thematic
3076,Puerto Rico,2002,8.10885,45058,3.2938,2,5,90,150,Strategy
173346,7 Wonders: Duel,2015,8.20529,13098,2.2514,2,2,30,30,Strategy
84876,The Castles of Burgundy,2011,8.11011,21752,3.0472,2,4,30,90,Strategy
31260,Agricola,2007,8.07693,45363,3.6308,1,5,30,150,Strategy
169786,Scythe,2016,8.36945,6923,3.3003,1,5,90,115,Strategy
25613,Through the Ages: A Story of Civilization,2006,8.1253,14806,4.1696,2,4,240,240,Strategy
96848,Mage Knight Board Game,2011,8.144,16345,4.1844,1,4,150,150,Strategy Thematic
164153,Star Wars: Imperial Assault,2014,8.2574,9096,3.2785,2,5,60,120,Thematic
115746,War of the Ring (second edition),2012,8.35843,5414,3.9663,2,4,150,180,Thematic Wargames
170216,Blood Rage,2015,8.21309,8849,2.9075,2,4,60,90,Strategy Thematic
2651,Power Grid,2004,7.96361,39534,3.2892,2,6,120,120,Strategy
72125,Eclipse,2011,8.03505,18827,3.6718,2,6,60,200,Strategy
124742,Android: Netrunner,2012,8.05369,18773,3.3358,2,2,45,45,Customizable
178900,Codenames,2015,7.98964,21263,1.3924,2,8,15,15,Party
121921,Robinson Crusoe: Adventures on the Cursed Island,2012,8.03234,15330,3.6703,1,4,90,180,Thematic
28720,Brass,2007,8.02193,10132,3.8724,2,4,120,180,Strategy
35677,Le Havre,2008,7.94809,17964,3.7609,1,5,100,200,Strategy
126163,Tzolk'in: The Mayan Calendar,2012,7.95432,15913,3.6029,2,4,90,90,Strategy
146508,T.I.M.E Stories,2015,8.12847,6581,2.6996,2,4,90,90,Thematic
150376,Dead of Winter: A Crossroads Game,2014,7.93414,18863,2.999,2,5,45,210,Thematic
122515,Keyflower,2012,7.96755,10209,3.3447,2,6,90,120,Strategy
68448,7 Wonders,2010,7.84763,46575,2.3442,2,7,30,30,Family Strategy
18602,Caylus,2005,7.87459,20982,3.8244,2,5,60,150,Strategy
171623,The Voyages of Marco Polo,2015,8.02391,7166,3.1888,2,4,40,100,Strategy
146021,Eldritch Horror,2013,7.95272,13646,3.3197,1,8,120,240,Thematic
164928,Orlí©ans,2014,8.0375,6016,3.1121,2,4,90,90,Strategy
175914,Food Chain Magnate,2015,8.31572,3274,4.2023,2,5,120,240,Strategy
12493,Twilight Imperium (Third Edition),2005,7.91492,14011,4.2134,3,6,180,240,Strategy Thematic
62219,Dominant Species,2010,7.87901,12077,4.0258,2,6,120,240,Strategy
132531,Roll for the Galaxy,2014,7.88589,11365,2.7505,2,5,45,45,Strategy
163412,Patchwork,2014,7.86925,13004,1.7191,2,2,15,30,Abstract Family
93,El Grande,1995,7.8188,17577,3.0892,2,5,60,120,Strategy
40834,Dominion: Intrigue,2009,7.81315,21881,2.4479,2,4,30,30,Strategy
124361,Concordia,2013,7.93215,8090,3.165,2,5,100,100,Strategy
28143,Race for the Galaxy,2007,7.77734,32419,2.9702,2,4,30,60,Strategy
103885,Star Wars: X-Wing Miniatures Game,2012,-1,-1,-1,-1,-1,-1,-1,-1
157354,Five Tribes,2014,7.84192,14134,2.8947,2,4,40,80,Strategy
110327,Lords of Waterdeep,2012,7.79322,25993,2.5133,2,5,60,120,Strategy
37111,Battlestar Galactica,2008,7.79009,23913,3.2257,3,6,120,240,Thematic
36218,Dominion,2008,7.72053,51915,2.3795,2,4,30,30,Strategy
42,Tigris & Euphrates,1997,7.7376,19450,3.5306,2,4,90,90,Strategy
102680,Trajan,2011,7.82617,8730,3.6672,2,4,90,90,Strategy
159675,Fields of Arle,2014,8.26699,2765,3.8832,1,2,60,120,Strategy
155426,Castles of Mad King Ludwig,2014,7.78524,10767,2.6549,1,4,90,90,Strategy
144733,Russian Railroads,2013,7.84257,7793,3.4117,2,4,90,120,Strategy
2511,Sherlock Holmes Consulting Detective,1981,7.85369,7482,2.7828,1,8,60,120,Thematic
9609,War of the Ring (first edition),2004,7.82414,8736,3.8352,2,4,180,180,Thematic Wargames
30549,Pandemic,2008,7.66931,55776,2.4329,2,4,30,90,Family Strategy
128882,The Resistance: Avalon,2012,7.75735,13862,1.7797,5,10,30,30,Party
104162,Descent: Journeys in the Dark (Second Edition),2012,7.80363,12914,3.191,2,5,120,120,Thematic
521,Crokinole,1876,7.79758,7146,1.2874,2,4,30,30,Family
103343,A Game of Thrones: The Board Game (Second Edition),2011,7.75376,15769,3.6349,3,6,120,240,Strategy
183394,Viticulture Essential Edition,2015,8.24759,2687,2.9709,1,6,90,90,Strategy
73439,Troyes,2010,7.73343,10164,3.4648,2,4,90,90,Strategy
70149,Ora et Labora,2011,7.79433,7024,3.8903,1,4,60,180,Strategy
34635,Stone Age,2008,7.63478,28086,2.5092,2,4,60,90,Family Strategy
146652,Legendary Encounters: An Alien Deck Building Game,2014,7.90832,5367,2.6979,1,5,45,45,Thematic
161970,Alchemists,2014,7.79417,8110,3.7486,2,4,120,120,Strategy
127023,Kemet,2012,7.78202,7980,2.9758,2,5,90,120,Strategy
126042,Nations,2013,-1,-1,-1,-1,-1,-1,-1,-1
155068,Arcadia Quest,2014,8.05495,3884,2.5631,2,4,60,60,Thematic
14105,Commands & Colors: Ancients,2006,7.81073,6594,2.6926,2,2,60,60,Wargames
167791,Terraforming Mars,2016,8.50014,2148,3.3228,1,5,90,120,Strategy
123260,Suburbia,2012,7.67051,13301,2.772,1,4,90,90,Strategy
91,Paths of Glory,1999,8.03393,3452,3.7967,2,2,480,480,Wargames
172386,Mombasa,2015,8.03553,3418,3.8362,2,4,75,150,Strategy
147020,Star Realms,2014,7.66238,15534,1.9714,2,2,20,20,Strategy
21050,Combat Commander: Europe,2006,7.94017,4165,3.2058,2,2,60,180,Wargames
17133,Railways of the World,2005,7.70638,9149,3.0311,2,6,120,120,Strategy
205059,Mansions of Madness: Second Edition,2016,8.43446,2264,2.6774,1,5,120,180,Thematic
43111,Chaos in the Old World,2009,7.68426,10542,3.159,3,4,60,120,Strategy Thematic
101721,Mage Wars Arena,2012,7.88435,5597,3.6261,2,2,90,90,Customizable
14996,Ticket to Ride: Europe,2005,7.59233,32028,1.9674,2,5,30,60,Family
27833,Steam,2009,7.69842,7645,3.454,3,5,90,90,Strategy
9216,Goa,2004,7.66003,9323,3.3885,2,4,90,90,Strategy
128621,Viticulture,2013,7.82706,5308,2.9343,2,6,90,90,Strategy
39463,Cosmic Encounter,2008,7.61366,17096,2.5471,3,5,60,120,Strategy Thematic
4098,Age of Steam,2002,7.71277,6544,3.9258,1,6,120,120,Strategy
555,The Princes of Florence,2000,7.6098,12797,3.2526,2,5,75,100,Strategy
148228,Splendor,2014,7.56323,24126,1.8455,2,4,30,30,Family
