id,title,year,avg rating,no. of ratings,avg complexity,min players,max players,min play time,max play time,categories,types,mechanisms,description,image
1592,ChessMage: Deck of the Myriad Shards,2001,0,0,0,2,2,45,45,,,,"From the Designer/Publisher:

Object-oriented fantasy RPG extension of Chess, every card and figurine in the ChessMage world is COMPLETELY unique, serialized, and counterfeit proof.  Owners will be able to instantly link and register cards, for authenticated, unique card play.
A fully distributed, artificial life driven program, ChessMage will grow and evolve in subtle and simple mechanic and subtle and confounding strategy and hidden factor management.

Steven D. Lidster, Founder
Elemental Designer Games,LLC
Creators of ChessMage: Deck of the Myriad Shards,LLC
betatest@chessmage.com
www.chessmage.com

",http://cf.geekdo-images.com/95oiSElDhNn4x87NKxKMxtOzba4=/fit-in/200x150/pic5640.jpg
1595,Tension,1970,5.32143,14,1,2,4,10,10,Children's,Action / Dexterity Children's Game Real-time ,Roll / Spin and Move,"This old Gabriel production features a spinner that only shows one color at a time.  When it stops, players rush to place their disks into wells on the board which match the spinner's color.  The first player to get rid of all his disks is the winner.

",http://cf.geekdo-images.com/0NxrQKUuSVKZlHJiuLXZDTO0FPw=/fit-in/200x150/pic363584.jpg
1596,Nevo,1979,5.35385,13,2,2,2,30,30,Abstract,Abstract Strategy ,Point to Point Movement,"Nevo is a two-player strategy game played on a 7x12 grid.  Each player has twelve checkers on his side of the board.  On his turn, a player may move one checker one square in any orthogonal direction.  Each checker must always be adjacent to one of its teammates, or it is removed from the board.  The further a checker is advanced into enemy territory, the more it scores: the first rank is worth 2 points, the second rank 5 points, and the third rank 8 points.  The winner is the first player to score 16 points.

",http://cf.geekdo-images.com/Xt9Qr1mFrklivhWrWTfjhsfXsCY=/fit-in/200x150/pic565706.jpg
1600,Russian Roulette,1986,3.25,4,0,2,6,45,45,,Dice ,Betting/Wagering,"Each player selects a different doubles and places a marker on the board to signify that it is his. All players then ante one chip to the jackpot. The first player then takes the dice and rolls and continues to roll until he rolls a 7. Each rolled number is kept track of unless a 7 or doubles is rolled.

If a double is rolled the player who has the double marked adds it to his score and must ante a chip into the jackpot. On a seven the total that the player has rolled is added to his score and a new round is started. If a 7 is rolled by way of a 6 and a 1 the player forfeits his entire score and must ante 1 chip. The first player to achieve a score of 252 or better while it is his turn to roll wins the game and collects the jackpot.

The rules do not assign any significance to the jackpot so I can only think that it is supposed to be a betting game. The rules are provided in English and Spanish.

",http://cf.geekdo-images.com/FoCcgAsD8AZHfzxLEIeYgXIJPDk=/fit-in/200x150/pic4896.jpg
1601,Ivy Towers,1981,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1605,Ambush! Purple Heart,1985,7.62793,367,3.1905,1,1,240,240,Wargames,Expansion for Base-game Exploration Fighting Wargame World War II ,Action Point Allowance SystemHex-and-CounterSecret Unit Deployment,"Purple Heart is the second expansion for Ambush!  It adds six new scenarios along with new weapons, vehicles, enemies and maps. The scenarios are designed to be challenging for experienced characters. Instead of being limited to France in 1944 like the base game, Purple Heart also takes you to:
- The Ardennes, December 1944
- South of Caen, July 1944
- The Rhone Valley, 1944
- Western Germany, Spring 1945

",http://cf.geekdo-images.com/muU2NN_DaINURCq9ApCKMdd_Y9w=/fit-in/200x150/pic964796.jpg
1606,Ambush! Move Out!,1984,7.53184,440,3.0962,1,1,240,240,Wargames,Expansion for Base-game Exploration Fighting Wargame World War II ,Action Point Allowance SystemHex-and-CounterSecret Unit Deployment,"Move Out! is the first expansion for Ambush!  It adds four new scenarios along with new weapons, vehicles, and enemies.  The scenarios are designed to be more difficult so that your veteran characters who have survived the 8 missions in the base game have more of a challenge.

Contents:
60 new Character/Vehicle Cards
11 new Mission Cards
 1 new Paragraph/Mission Booklet

Expands:

    Ambush!




",http://cf.geekdo-images.com/xoioG-FjrJDdg_cbeJlbVffZeN8=/fit-in/200x150/pic152920.jpg
1609,Creature Features,1975,6.78889,18,2,2,6,120,120,,Horror ,,"Blatant Monopoly styled game.  In fact in the largest font in the rules at the top is this quote This game plays similarly to the famous Monopoly game.

The track is your standard circular track with movies(properties) and actor, award, dead or alive (chance, community chest) spaces.

As you travel you buy movies.  There are two actors (houses) associated with each movie and upon landing on a actor space you draw three actors for purchase.  Any actors in which you own the corresponding movie you may buy or if non match you may still purchase one card.  Card prices are driven by dice.  If you own both actors for a movie and you land on an award space you can draw to see if you win anything.  If it is a major award (hotel) you place it on the movie and anyone landing there has to pay you a premium.

",http://cf.geekdo-images.com/7zvWKfaDLD6-sFWto06s2AJ9Cy4=/fit-in/200x150/pic42902.jpg
1610,The Worlds of Boris Vallejo,1984,4.14583,24,1.8,1,6,60,60,,Adventure Fantasy Fighting ,Modular Board,"From the 30 world tiles (each featuring a different painting by Vallejo) each player, 1 at a time, chooses one and places it so that it touches at least 1 other tile. This is done until each player has placed 5 tiles. This makes up the playing board.

Each player then receives 8 cards from the card deck. Cards come in 4 flavors. World cards, which are not shuffled into the deck, have info about each world tile. The player who owns that tile takes the card for reference. Character cards have a base strength, class and a home world indicator. They can be played to a tile that you own as defense against attack. If they are played to their home world their strength is doubled. Scroll cards can be placed on worlds and used by characters that can wield magic. These cards boost the base strength. Artifact cards can be used by any character. They boost strength and sometimes have special powers.

Each player picks a world tile to be his home and places 5 of their 8 cards there to defend it. Players also have a pawn that represents their army.

During a turn a player first draws 3 cards from the deck.

Second a player may play up to 2 cards. These cards can be played from his hand to a controlled world, from a controlled world to another controlled world or from a controlled world to his hand.

Third a player may move his pawn 1 or 2 worlds. If he enters a world controlled by another player he must stop.

Although not stated in the rules I would assume if a pawn is in a world not claimed by another player he could claim the world and play cards there. If a pawn is in a world occupied by another player you would then have a battle. A battle is fought between the cards on the tile as defense and the cards from the attacking players hand. Calls from allies can be made and other players can contribute to the battles as well.

The first player to control 8 worlds wins.

",http://cf.geekdo-images.com/lYiNa8tbT3tH1WCTl7dpn1-Z2VE=/fit-in/200x150/pic503592.jpg
1612,Ambush! Silver Star,1987,7.58339,274,3.1071,1,1,240,240,Wargames,Expansion for Base-game Exploration Fighting Wargame World War II ,Action Point Allowance SystemHex-and-CounterSecret Unit Deployment,"Silver Star is the third and final expansion for Ambush! It adds six new scenarios along with new weapons, vehicles, enemies and maps. The scenarios take place in Italy, and are designed to be challenging for experienced Ambush! characters.

Contents:
70 new Character/Vehicle Cards
9 new Mission Cards
1 new Countersheet
1 new Paragraph/Mission Booklet
1 new 16 x 22 Mapsheet (F)
2 new 8 x 22 Mapsheets (G  H)

Expands:

    Ambush!




",http://cf.geekdo-images.com/XVjBGpm7rC3R_Lw4JqqGVIks0Qg=/fit-in/200x150/pic964799.jpg
