id,title,year,avg rating,no. of ratings,avg complexity,min players,max players,min play time,max play time,categories,types,mechanisms,description,image
13154,Monopoly: Popular Edition,1954,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13155,Russian Roulette,1975,2.15,10,0,2,7,60,60,,Number Party Game ,Betting/WageringSet Collection,"Russian Roulette is a banking game in which all bets must be placed against the Tzar who is the house or banker.  The object of the game is to be the player with the most money when the game ends.

All players bet as to which card of a 24-card deck will be turned face up next.  Players use their colored chips (each worth $1,000 in play money) to bet on the suit, the rank, and the exact face of the card predicted next.  There is an unique way to get back into the game if you lose all your money.

The game ends when either a. the predetermined time limit expires, b. the bank runs out of money, or c. all players have been eliminated.

",http://cf.geekdo-images.com/BB46aK2yfi4Zr56Q_sjhnWnULfg=/fit-in/200x150/pic54036.jpg
13157,Divin' Dolphins,2002,0,0,0,2,4,10,10,,Action / Dexterity Animals ,Simultaneous Action Selection,"This is a kids game similar to Hungry Hungry Hippos. The game comes with a hubcap size tray that is round on the bottom so that it tilts and spins. The tray has 4 colored cups spaced evenly around the rim, and 20 marbles (5 each of four different colors matching the cups) are placed in the tray. Each player takes a dolphin grabber that has the same color handle as the cup in front of him. The grabber has a dolphin head on its end that closes its mouth when you pull the trigger on the handle.

At the count of three, all players use their dolphins to grab marbles from the tray that match their cups color. The first player to put all five of his marbles in his cup wins.

",http://cf.geekdo-images.com/qVYc8TzvjxW6gRfBeyv3g5rxl5w=/fit-in/200x150/pic117447.jpg
13158,Fib Finder,2003,3.275,8,1,2,6,30,30,,Electronic Humor Party Game ,,"This is a game for young girls that acts like a toy lie detector. On your turn, the player to the left takes a card and asks you one of the questions on it (such as: Have you ever been kissed by someone real cute?) After you reply, you can move up one space on the game board--unless another player challenges your answer.

For a challenge, both you and the challenger place your fingers on the electronic Fib Finder. The challenger repeats the question into the microphone and you repeat the answer. The challenger then removes her finger and the Fib Finder will show green (true: move ahead 2, move challenger back 2), red (false: move back 2, challenger ahead 2), or yellow (unsure: move ahead one like normal).

The first player to reach the Totally Truthful space, or the only player not on the All Time Fibber space, wins.

",http://cf.geekdo-images.com/sbOWD3u1zNhL79fwv1pSJNRbFHg=/fit-in/200x150/pic53881.jpg
13159,Guess-a-Doodle!,1998,2,1,0,3,8,45,45,,Party Game ,Line DrawingPaper-and-PencilPattern RecognitionSimultaneous Action Selection,"Each player takes some paper and a pencil (four are provided). Chose any player to be the first Instructor. All other players are Doodlers for the first round and rotate for later rounds.

The Instructor takes the top card from the Doodle deck and tries to describe as best they can the object on the card using only technical terms. The Doodlers follow the directions of the Instructor, trying to recreate the object on their Doodle Sheet. No one can look at another's drawing. Once the Instructor announces the description is complete, each Doodler secretly writes down what they think the object on their sheet is.

Each correct identification is worth one point to the Instructor. Each correct Doodler gets one point. So, if 3 Doodlers guess correctly, they each get one point and the Instructor gets 3 points. The player with the most points at the end is the winner.

",http://cf.geekdo-images.com/RbpIu4GxypBjaFzCuSlcmFAyzf8=/fit-in/200x150/pic275028.jpg
13160,Scooby-doo! Hide & Shriek,2003,5.6025,12,0,2,4,30,30,,Movies / TV / Radio theme ,Roll / Spin and Move,"Each player is dealt cards showing what ghosts he needs to capture. On a turn, the player spins the spinner to move across the board and follows the directions of the space landed on. If you land on a Villain Space, you check to see if the ghost matches one of your cards. If it does, you capture it. There are also special Light Up Ghosts that you identify by using a flashlight provided with the game. These must be captured last. The first player to capture all the ghosts on his cards wins.

",http://cf.geekdo-images.com/dcQE9DdmDn_xgBCPR3T0vcCht9Y=/fit-in/200x150/pic78153.jpg
13161,NHL Strategy,1976,6.66667,3,2.5,2,2,0,0,,Sports ,Dice RollingSimulation,"Coach your own NHL hockey team.  Make the starting lineups. Decide on substitutions.  Play a wide open game using your best shooters, passers and skaters - or choose a close checking defensive strategy.  The choice is yours and the fun is yours.  All teams and every player perform as they do in real NHL games.  Every player is rated for his individual passing, skating, and shooting skills.  Penalties, injuries, power plays, pulling the goalie, backchecking and forechecking all happen.

",http://cf.geekdo-images.com/1BYkcEBOuTeGBfiOgIPwLBSiEbU=/fit-in/200x150/pic279633.jpg
13162,Hydro Strike,1997,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13163,Jay Jay The Jet Plane Fly On Over Game,2002,1,2,0,2,4,20,20,,Aviation / Flight Children's Game Movies / TV / Radio theme ,Roll / Spin and Move,"On your turn, you spin the spinner and move your Jay Jay plane to any unoccupied landing pad of the same color that you spun. If the pad is the same color as your plane's stripes, you take it and place it in front of you (thus the number of landing pads shrinks as the game progresses). If all pads of the color spun are occupied you stay where you are until your next turn. The first player to collect all four of their color landing pads is the winner!

",http://cf.geekdo-images.com/UalxKri-wSUcSVIj3ySjM9Fe7_4=/fit-in/200x150/pic55669.jpg
13167,Precious Moments Game,2003,0,0,0,2,4,30,30,,Action / Dexterity ,Line DrawingRoll / Spin and MoveStorytelling,"In this kids game, based on the Precious Moments characters, players travel around the board performing several types of activities (such as drawing and charades). The first player to successfully get one card from each category, and acquire the special dream card wins.

",http://cf.geekdo-images.com/3avoqpejgKdS6mtDUKiE3nM5qLU=/fit-in/200x150/pic58629.jpg
